Time,Ax,Ay,Az,Gx,Gy,Gz
18:58:29:092,-0.717848002910614,-0.586575984954834,-1.0492000579833984,83.8125,443.9375,-17.25
18:58:29:152,-0.5929200053215027,-0.003415999934077263,-1.9222320318222046,-60.0625,143.8125,42.5625
18:58:29:212,-0.3850319981575012,0.15030400454998016,-1.2639199495315552,-18.8125,-105.9375,134.75
18:58:29:272,-0.8842560052871704,0.30353599786758423,-0.7964159846305847,-30.4375,-71.0625,90.3125
18:58:29:328,-0.33184000849723816,-0.15664799511432648,-1.2717280387878418,-34.8125,-165.0625,82.125
18:58:29:387,-0.6905199885368347,0.21276800334453583,-0.4880000054836273,7.0,-145.6875,40.5
18:58:29:443,-0.5514400005340576,0.11760800331830978,-0.8974320292472839,29.6875,-77.125,-10.3125
18:58:29:502,-0.5153279900550842,0.03806399926543236,-0.6788079738616943,35.625,43.5,-37.9375
18:58:29:562,-0.42895200848579407,0.3362320065498352,-0.5490000247955322,70.3125,61.0625,18.75
18:58:29:622,-0.27718400955200195,0.15615999698638916,-0.6568480134010315,35.125,236.8125,-40.125
18:58:29:682,-0.47043201327323914,0.12297599762678146,-1.2961280345916748,55.1875,227.9375,49.3125
18:58:29:742,-0.4235840141773224,0.268887996673584,-1.2570879459381104,4.625,92.5,-8.4375
18:58:29:802,-0.5885279774665833,0.2088640034198761,-0.9086560010910034,15.625,60.75,8.8125
18:58:29:862,-0.4479840099811554,-0.01268799975514412,-1.0272400379180908,-7.8125,-53.6875,4.875
18:58:29:922,-0.2596159875392914,0.14005599915981293,-0.9701439738273621,-15.375,-108.625,15.75
18:58:29:986,-0.34306401014328003,0.48263201117515564,-0.12053599953651428,-55.125,29.25,-2.0625
18:58:30:042,0.09418399631977081,0.48263201117515564,-1.1072720289230347,-72.1875,5.75,33.5625
18:58:30:102,-0.4421280026435852,0.1727519929409027,-0.7349280118942261,-60.8125,-114.0625,0.8125
18:58:30:162,-0.8271600008010864,1.4264240264892578,-0.44603198766708374,-5.5625,164.1875,-71.375
18:58:30:223,0.07515200227499008,-0.3596560060977936,-1.3761600255966187,-39.8125,95.5,-176.875
18:58:30:282,-0.1395680010318756,0.22935999929904938,-0.8139839768409729,-43.125,19.4375,10.25
18:58:30:345,1.4283759593963623,-0.27035200595855713,-1.3800640106201172,-51.0,189.75,41.8125
18:58:30:403,0.03269600123167038,0.7886080145835876,-0.9603840112686157,-42.0625,333.125,-248.1875
18:58:30:468,0.4548160135746002,0.4152880012989044,-0.8574159741401672,-151.1875,260.375,-89.5625
18:58:30:524,0.4177280068397522,0.8906000256538391,-1.1389919519424438,-22.375,142.9375,19.4375
18:58:30:584,0.4865359961986542,0.6309840083122253,-0.8622959852218628,-16.8125,47.125,96.25
18:58:30:644,0.9559919834136963,-0.04148000106215477,-0.8047119975090027,-44.875,56.0625,56.3125
18:58:30:704,0.7563999891281128,0.38308000564575195,-0.5968239903450012,-2.1875,-11.1875,35.3125
18:58:30:764,0.6729519963264465,0.5763279795646667,-0.8915759921073914,-0.0625,-16.6875,44.25
18:58:30:835,0.4972720146179199,-0.1298079937696457,-0.6797839999198914,27.9375,-196.5,50.3125
18:58:30:884,0.3172000050544739,0.3723439872264862,-0.5807200074195862,84.375,-168.0625,134.125
18:58:30:954,0.692471981048584,0.30353599786758423,0.18934400379657745,160.375,30.4375,135.125
18:58:31:007,1.7753440141677856,1.3010079860687256,-1.5079200267791748,852.8125,16.4375,7.25
18:58:31:074,0.6348879933357239,-0.8637599945068359,-1.9988479614257812,146.9375,-755.75,98.6875
18:58:31:129,0.5006880164146423,-0.6417199969291687,0.4474959969520569,-297.5,-518.4375,-358.75
18:58:31:222,-0.15860000252723694,-0.7334640026092529,0.4660399854183197,79.25,301.0,15.0
18:58:31:287,0.02000799961388111,-1.3244320154190063,-1.5899039506912231,1.875,-12.375,-68.375
18:58:31:329,0.1820240020751953,-0.8208159804344177,-0.9223200082778931,-33.5625,-46.4375,94.375
18:58:31:364,0.19276000559329987,-0.7905600070953369,-1.0560319423675537,-178.5625,-32.6875,23.125
18:58:31:446,0.031231999397277832,-0.33525601029396057,-0.7466400265693665,-100.125,-32.25,-35.875
18:58:31:528,-0.1756799966096878,-0.21276800334453583,-0.8325279951095581,-140.8125,-12.75,35.4375
18:58:31:595,-0.22496800124645233,-0.35282400250434875,-0.9218320250511169,-25.1875,-47.375,188.25
18:58:31:655,-0.1302960067987442,-0.3001199960708618,-0.5431439876556396,49.1875,-92.375,297.0
18:58:31:709,0.1273680031299591,-0.17909599840641022,-0.7837280035018921,36.125,170.5625,128.3125
18:58:31:756,0.26791200041770935,-0.3625839948654175,-1.5279279947280884,-41.5,24.375,4.3125
18:58:31:811,0.03806399926543236,-0.27376800775527954,-0.815447986125946,-104.4375,-10.9375,19.0
18:58:31:879,0.056120000779628754,0.11956000328063965,-1.0316319465637207,-72.1875,-12.75,23.0
