Time,Ax,Ay,Az,A_rms,Mx,My,Mz,M_rms
11:14:02:762,0.02,-0.02,-1.01,0.58,-252.90,-79.00,-91.70,161.87
11:14:03:316,0.02,-0.02,-1.00,0.58,-254.60,-80.60,-91.90,163.06
11:14:03:870,0.02,-0.02,-1.00,0.58,-252.10,-80.00,-92.60,161.79
11:14:04:424,0.02,-0.02,-1.00,0.58,-252.40,-80.90,-92.60,162.10
11:14:04:978,0.02,-0.02,-1.00,0.58,-250.80,-80.00,-89.90,160.61
11:14:05:532,0.02,-0.02,-0.98,0.57,-252.50,-78.90,-91.40,161.59
11:14:06:086,0.02,-0.02,-0.99,0.57,-253.90,-80.00,-92.90,162.78
11:14:06:640,0.02,-0.02,-0.99,0.57,-252.70,-80.50,-92.90,162.24
11:14:07:194,0.02,-0.02,-1.00,0.58,-253.10,-80.30,-93.80,162.59
11:14:07:748,0.02,-0.02,-0.99,0.57,-253.50,-80.90,-91.40,162.44
11:14:08:302,0.02,-0.02,-1.00,0.58,-254.30,-78.80,-94.10,163.03
11:14:08:856,0.02,-0.02,-1.00,0.58,-252.30,-80.10,-91.70,161.74
11:14:09:410,0.03,-0.01,-1.01,0.58,-255.80,-78.20,-90.20,162.98
11:14:09:963,0.38,0.00,-0.84,0.53,-272.70,-76.50,-88.50,171.32
11:14:10:516,0.50,0.01,-0.86,0.57,-273.30,-76.70,-90.00,171.93
11:14:11:069,0.48,0.04,-0.88,0.58,-273.80,-77.20,-89.00,172.09
11:14:11:622,0.46,0.06,-0.84,0.56,-273.10,-78.20,-87.20,171.56
11:14:12:176,0.44,-0.03,-0.91,0.58,-274.10,-76.80,-89.20,172.23
11:14:12:730,0.51,-0.00,-0.91,0.60,-274.70,-75.70,-88.30,172.23
11:14:13:283,0.49,0.08,-0.83,0.56,-273.60,-79.50,-88.90,172.32
11:14:13:836,0.51,0.05,-0.89,0.59,-274.60,-78.60,-87.50,172.47
11:14:14:389,0.50,0.00,-0.87,0.58,-275.10,-75.80,-91.10,172.94
11:14:14:943,0.39,-0.03,-0.91,0.57,-270.30,-75.10,-88.90,169.91
11:14:15:497,0.12,-0.01,-0.91,0.53,-257.80,-78.90,-89.20,163.95
11:14:16:051,0.09,-0.08,-0.68,0.40,-254.10,-80.10,-91.20,162.58
11:14:16:605,0.02,-0.01,-1.00,0.58,-253.30,-80.60,-91.40,162.29
11:14:17:159,0.02,-0.01,-0.99,0.57,-253.20,-80.60,-91.00,162.16
11:14:17:713,0.02,-0.01,-0.99,0.57,-254.30,-80.10,-91.10,162.67
11:14:18:267,0.02,-0.01,-1.00,0.57,-253.00,-79.70,-92.40,162.17
11:14:18:821,0.02,-0.01,-1.00,0.57,-254.60,-79.40,-91.20,162.73
11:14:19:375,0.02,-0.01,-1.00,0.58,-253.00,-80.00,-90.50,161.86
11:14:19:929,0.02,-0.01,-0.99,0.57,-253.20,-80.00,-91.80,162.21
11:14:20:483,0.03,-0.01,-1.00,0.58,-254.50,-80.10,-93.00,163.13
11:14:21:037,0.02,-0.02,-1.00,0.58,-255.00,-80.30,-90.60,162.97
11:14:21:591,0.02,-0.01,-0.99,0.57,-253.70,-79.80,-92.70,162.61
