Time,Ax,Ay,Az,A_rms,Mx,My,Mz,M_rms
20:13:03:055,0.03,-0.01,-0.99,0.57,-256.20,-79.60,-94.30,164.18
20:13:03:609,0.03,-0.01,-0.99,0.57,-255.70,-79.20,-89.60,162.98
20:13:04:163,0.07,-0.04,-1.02,0.59,-255.70,-79.80,-91.20,163.37
20:13:04:717,0.02,-0.02,-1.00,0.58,-256.00,-79.50,-90.00,163.25
20:13:05:271,0.03,-0.01,-1.00,0.58,-255.00,-79.70,-94.20,163.56
20:13:05:825,0.02,-0.00,-0.99,0.57,-256.20,-79.00,-90.60,163.39
20:13:06:379,0.02,-0.01,-1.00,0.58,-255.10,-79.80,-91.00,163.02
20:13:06:933,0.03,-0.01,-0.99,0.57,-256.50,-79.60,-91.10,163.74
20:13:07:487,0.02,-0.01,-0.99,0.57,-253.60,-79.00,-92.20,162.33
20:13:08:041,0.02,-0.01,-0.99,0.57,-256.00,-80.20,-90.90,163.53
20:13:08:595,0.02,-0.01,-0.99,0.57,-256.40,-79.40,-93.50,164.10
20:13:09:151,0.03,-0.01,-0.99,0.57,-256.60,-78.40,-91.70,163.71
20:13:09:703,0.02,-0.01,-0.99,0.57,-253.90,-78.90,-90.70,162.19
20:13:10:257,0.03,-0.01,-1.00,0.58,-254.00,-79.50,-90.90,162.38
20:13:10:811,0.02,-0.01,-0.99,0.57,-255.40,-78.40,-90.90,162.93
20:13:11:365,0.02,-0.01,-1.00,0.58,-254.70,-79.50,-91.40,162.84
20:13:11:919,0.02,-0.02,-1.00,0.58,-255.80,-78.90,-92.40,163.50
20:13:12:473,0.02,-0.01,-0.99,0.57,-256.50,-79.10,-91.70,163.77
20:13:13:027,0.02,-0.02,-0.99,0.57,-255.10,-79.30,-92.50,163.22
20:13:13:581,0.02,-0.01,-0.99,0.57,-255.30,-78.90,-92.60,163.28
20:13:14:135,0.02,-0.01,-0.99,0.57,-254.20,-79.30,-92.20,162.69
20:13:14:689,0.02,-0.01,-0.99,0.57,-255.50,-78.20,-92.40,163.23
20:13:15:243,0.03,-0.01,-1.00,0.58,-254.90,-79.60,-90.00,162.70
20:13:15:797,0.02,-0.01,-0.99,0.57,-253.50,-79.60,-90.90,162.13
20:13:16:351,0.02,-0.01,-1.00,0.58,-254.60,-80.00,-90.10,162.62
20:13:16:905,0.02,-0.01,-0.99,0.57,-255.40,-80.70,-91.80,163.47
20:13:17:459,0.02,-0.01,-1.00,0.58,-255.10,-79.20,-91.50,163.01
20:13:18:013,0.02,-0.01,-1.00,0.58,-255.10,-78.80,-92.50,163.14
20:13:18:567,0.02,-0.01,-1.00,0.57,-255.40,-78.80,-94.00,163.58
20:13:19:121,0.03,-0.01,-0.99,0.57,-256.00,-77.70,-91.80,163.30
