Time,Ax,Ay,Az,Mx,My,Mz,Gx,Gy,Gz
23:29:23:954,0.025,-0.012,-0.996,-264.700,-73.200,-93.800,0.250,2.312,0.062
23:29:24:128,0.023,-0.011,-0.993,-264.000,-72.700,-92.400,0.375,3.375,0.125
23:29:24:321,0.028,-0.016,-0.999,-264.700,-72.400,-92.200,0.500,2.250,0.188
23:29:24:455,0.026,-0.013,-0.995,-264.600,-71.500,-93.600,0.125,2.562,0.188
23:29:24:634,0.026,-0.009,-0.987,-264.600,-72.400,-93.300,0.375,2.312,0.188
23:29:24:812,0.028,-0.014,-0.991,-264.500,-72.100,-92.200,0.188,2.688,0.188
23:29:24:971,0.026,-0.010,-0.996,-265.000,-73.100,-91.600,0.062,2.875,0.062
23:29:25:142,0.025,-0.008,-0.996,-265.700,-72.800,-92.400,0.625,2.250,0.188
23:29:25:295,0.026,-0.017,-0.997,-265.300,-71.600,-94.400,-0.188,2.625,0.062
23:29:25:471,0.027,-0.014,-0.990,-263.900,-72.800,-91.700,0.062,2.812,0.062
23:29:25:617,0.030,-0.011,-0.992,-265.400,-71.700,-90.900,0.125,2.938,-0.125
23:29:25:802,0.025,-0.010,-0.988,-264.800,-72.800,-91.000,0.375,3.125,0.312
23:29:25:980,0.025,-0.012,-0.995,-266.100,-72.900,-93.300,-0.188,2.562,0.125
23:29:26:134,0.028,-0.015,-0.996,-265.400,-71.400,-94.000,0.188,3.000,0.250
23:29:26:310,0.025,-0.012,-0.997,-263.600,-70.600,-92.300,0.938,3.125,0.250
23:29:26:458,0.025,-0.017,-0.992,-265.400,-72.500,-94.500,0.625,3.062,-0.250
23:29:26:643,0.027,-0.009,-0.990,-264.800,-71.200,-92.200,-0.062,3.438,-0.062
23:29:26:793,0.030,-0.013,-0.993,-265.300,-71.200,-92.100,0.500,3.375,-0.062
23:29:26:974,0.027,-0.013,-0.997,-265.500,-71.200,-91.100,-0.438,2.938,-0.062
23:29:27:140,0.026,-0.009,-0.997,-265.600,-71.400,-94.200,0.500,3.062,0.062
23:29:27:301,0.025,-0.007,-0.988,-264.200,-72.400,-91.200,0.188,2.875,0.062
23:29:27:465,0.025,-0.011,-0.990,-265.700,-71.000,-90.800,-0.125,3.125,0.062
23:29:27:635,0.024,-0.014,-0.991,-264.600,-71.900,-93.600,0.125,2.375,-0.125
23:29:27:795,0.030,-0.014,-0.993,-264.100,-73.100,-92.600,-0.062,3.000,0.188
23:29:27:969,0.025,-0.012,-0.997,-265.700,-72.400,-92.900,0.562,2.750,0.062
23:29:28:134,0.030,-0.003,-1.001,-263.800,-72.900,-94.800,-0.125,2.375,0.312
23:29:28:295,0.035,-0.018,-0.985,-264.900,-73.400,-92.600,-0.062,2.750,0.125
23:29:28:446,0.029,-0.013,-0.991,-264.900,-72.800,-92.200,-0.375,2.750,0.188
23:29:28:631,0.025,-0.012,-0.988,-265.000,-71.300,-91.800,0.438,2.625,0.312
23:29:28:808,0.029,-0.005,-0.998,-266.800,-71.900,-95.400,0.500,3.062,0.125
23:29:28:981,0.027,-0.014,-0.996,-266.300,-72.000,-92.200,-0.062,1.938,0.250
