Time,Ax,Ay,Az,Gx,Gy,Gz
02:06:32:942,0.12200000137090683,0.014639999717473984,-0.9594079852104187,-6.5625,-0.625,-7.75
02:06:33:002,0.15225599706172943,0.13078400492668152,-1.0277279615402222,-1.8125,-16.25,-0.125
02:06:33:404,0.15860000252723694,15.616000175476074,-2.2724841478150985e+25,-14.125,3.0625,-8.0625
02:06:33:478,0.230335995554924,0.10345599800348282,-0.9496480226516724,26.25,15.625,50.625
02:06:33:538,0.20983999967575073,-0.0058559998869895935,-0.9447680115699768,19.75,36.5,62.6875
02:06:33:593,0.17616799473762512,-0.004879999905824661,-0.9467200040817261,33.3125,0.8125,48.5
02:06:33:653,0.15225599706172943,0.05904800072312355,-0.9555040001869202,3.875,6.75,24.5
02:06:33:713,0.18397599458694458,0.023423999547958374,-1.0745760202407837,-40.5625,-3.1875,31.0625
02:06:34:309,0.1210239976644516,0.08393599838018417,-0.9154880046844482,7.5,3.0009765625,15.5
02:06:34:370,-0.03367200121283531,8.377075033649817e-08,2.3940880535218662e+24,-2.0625,-46.625,30.3125
02:06:34:604,-0.009759999811649323,0.044895999133586884,-1.0243120193481445,-12.625,-25.375,-1.0
02:06:34:664,-0.11371075361967087,-0.01268799975514412,-1.0301756858825684,4.25,8.8125,7.4375
02:06:34:725,-0.100040003657341,0.04782399907708168,-1.0373060703277588,8.9375,-28.25,-10.5
02:06:34:784,-0.12200000137090683,0.027327999472618103,-1.0228480100631714,8.75,13.1875,-36.0
02:06:34:845,-0.14981600642204285,9.531249816063792e-06,0.007203735411167145,15.875,-15.375,-5.2488657665700124e+29
02:06:35:024,-0.04928800091147423,0.0785679966211319,-1.0423680543899536,-43.4375,6.125,-10.375
02:06:35:081,-0.09906399995088577,0.007807999849319458,0.004140375182032585,-13.0625,2.375,0.9375
02:06:35:179,-0.07710400223731995,-0.01756799966096878,-0.987712025642395,26.625,4.559173206763474e-36,2.2247901786075352e+20
02:06:35:260,-0.08344800025224686,-0.013663999736309052,-0.9281759858131409,4.1875,-15.625,3.5625
02:06:35:406,-0.23521600663661957,0.08686400204896927,-0.9394000172615051,-23.0625,-21.625,127.4375
02:06:35:500,0.4021120071411133,-0.42553600668907166,-1.2092640399932861,-5.4375,-28.8125,24.9375
02:06:35:560,-0.1058960035443306,0.07027199864387512,-0.8906000256538391,25.3125,44.5625,-15.625
02:06:35:615,-0.23521600663661957,0.13224799931049347,-0.9672160148620605,-2.3125,16.625,-32.625
02:06:35:735,-0.13176000118255615,-0.4958080053329468,-0.979416012763977,139.1875,81.1875,1.375
02:06:35:795,-0.11419200152158737,0.035624001175165176,-0.6939359903335571,-43.375,18.75,-17.0625
02:06:35:855,-0.11614400148391724,-0.10491999983787537,-1.0682320594787598,-38.625,31.0,-32.5
02:06:35:915,-0.00634399987757206,-0.07320000231266022,-1.02675199508667,16.75,71.5,27.0625
02:06:35:975,0.1302960067987442,-0.02000799961388111,-0.8925520181655884,-34.3125,82.625,-3.9375
02:06:36:040,0.09711199998855591,-0.037087999284267426,-1.0960479974746704,26.8125,51.5,34.6875
02:06:36:100,0.09516000002622604,-0.09467200189828873,-1.0326080322265625,-30.0,0.125,-6.0625
02:06:36:155,0.1546960026025772,-0.21081599593162537,-0.9223200082778931,69.875,21.3125,-2.125
02:06:36:215,0.07612799853086472,-0.11224000155925751,-1.0462720394134521,9.125,-10.4375,-6.8125
02:06:36:275,0.12443999946117401,-0.07027199864387512,-0.9691680073738098,-29.375,-3.875,-6.25
02:06:36:338,-0.023423999547958374,-0.13468800485134125,-0.9886879920959473,4.75,-4.0625,2.0625
02:06:36:395,0.0849120020866394,-0.14932799339294434,-1.002351999282837,36.125,-9.1875,-11.8125
02:06:36:460,0.3537999987602234,-0.2605920135974884,-1.0940959453582764,11.9375,47.9375,-2.9375
